Tag,Chromophore,Solvent,Absorption max (nm),Emission max (nm),Lifetime (ns),Quantum yield,log(e/mol-1 dm3 cm-1),abs FWHM (cm-1),emi FWHM (cm-1),abs FWHM (nm),emi FWHM (nm),Molecular weight (g mol-1),Reference
21,O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,C1CCCCC1,393.0,455.0,4.3,,,,,,,309.097663348,10.1021/j100248a024
22,O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,CCOC(C)=O,409.0,501.0,5.4,,,,,,,309.097663348,10.1021/j100248a024
23,O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,CC#N,418.0,521.0,5.6,,,,,,,309.097663348,10.1021/j100248a024
24,O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,CCO,421.0,531.0,3.4,,,,,,,309.097663348,10.1021/j100248a024
25,O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,OCC(O)CO,434.0,546.0,3.5,,,,,,,309.097663348,10.1021/j100248a024
26,CN1CCCc2cc3c(C(F)(F)F)cc(=O)oc3cc21,C1CCCCC1,382.0,439.0,4.2,,,,,,,283.082013284,10.1021/j100248a024
27,CN1CCCc2cc3c(C(F)(F)F)cc(=O)oc3cc21,CC#N,405.0,510.0,5.6,,,,,,,283.082013284,10.1021/j100248a024
28,CN1CCCc2cc3c(C(F)(F)F)cc(=O)oc3cc21,CCO,408.0,515.0,5.1,,,,,,,283.082013284,10.1021/j100248a024
29,Nc1ccc2c(C(F)(F)F)cc(=O)oc2c1,CC#N,365.0,465.0,5.2,,,,,,,229.035063092,10.1021/j100248a024
30,CCN(CC)c1ccc2cc(-c3nc4ccccc4s3)c(=O)oc2c1,CC#N,454.0,501.0,3.2,,,,,,,350.1088988159999,10.1021/j100248a024
31,CCN(CC)c1ccc2cc(-c3nc4ccccc4n3C)c(=O)oc2c1,CC#N,403.0,480.0,2.8,,,,,,,347.163376912,10.1021/j100248a024
32,CCNc1cc2oc(=O)cc(C)c2cc1C,CC#N,354.0,420.0,3.5,,,,,,,217.11027872,10.1021/j100248a024
33,CCNc1cc2oc(=O)cc(C(F)(F)F)c2cc1C,CC#N,383.0,481.0,7.7,,,,,,,271.082013284,10.1021/j100248a024
34,CCNc1cc2oc3cc(=[NH+]CC)c(C)cc-3c(-c3ccccc3C(=O)OCC)c2cc1C,CO,530.0,555.0,3.7,,5.037825,1244.6,,35.0,,443.23291927209,10.1021/j100535a016
35,CCN(CC)c1ccc2c(c1)OC1=CC(N(CC)CC)C=CC1[C+]2c1ccccc1C(=O)O,O,,,1.52,,,,,,,445.24856933608993,10.1111/j.1751-1097.1999.tb08277.x
36,O=C([O-])c1ccccc1-c1c2ccc(=O)cc-2oc2cc([O-])ccc12,O,,,4.16,0.95,,,,,,330.05392057982,10.1111/j.1751-1097.1999.tb08277.x
37,CCN(CC)c1ccc2c(-c3ccccc3C(=O)[O-])c3ccc(=[N+](CC)CC)cc-3oc2c1,[2H]O[2H],,,1.84,,,,,,,442.22564282,10.1111/j.1751-1097.1999.tb08277.x
38,CCN(CC)c1ccc2c(c1)OC1=CC(N(CC)CC)C=CC1[C+]2c1ccccc1C(=O)O,[2H]O[2H],,,1.64,,,,,,,445.24856933608993,10.1111/j.1751-1097.1999.tb08277.x
39,CCNc1cc2oc3cc(=[NH+]CC)c(C)cc-3c(-c3ccccc3C(=O)OCC)c2cc1C,[2H]O[2H],,,4.36,,,,,,,443.23291927209,10.1111/j.1751-1097.1999.tb08277.x
40,O=C([O-])c1ccccc1-c1c2ccc(=O)cc-2oc2cc([O-])ccc12,[2H]O[2H],,,4.36,,,,,,,330.05392057982,10.1111/j.1751-1097.1999.tb08277.x
41,O=C([O-])c1ccccc1C1=c2cc3c4c(c2Oc2c1cc1c5c2CCCN5CCC1)CCC[N+]=4CCC3,[2H]O[2H],,,4.8,,,,,,,490.2256428200001,10.1111/j.1751-1097.1999.tb08277.x
42,CCN(CC)c1ccc2c(-c3ccccc3C(=O)[O-])c3ccc(=[N+](CC)CC)cc-3oc2c1,CO,,,2.46,,,,,,,442.22564282,10.1111/j.1751-1097.1999.tb08277.x
43,CCN(CC)c1ccc2c(c1)OC1=CC(N(CC)CC)C=CC1[C+]2c1ccccc1C(=O)O,CO,,,2.15,,,,,,,445.24856933608993,10.1111/j.1751-1097.1999.tb08277.x
44,O=C([O-])c1ccccc1-c1c2ccc(=O)cc-2oc2cc([O-])ccc12,CO,,,4.28,,,,,,,330.05392057982,10.1111/j.1751-1097.1999.tb08277.x
45,O=C([O-])c1ccccc1C1=c2cc3c4c(c2Oc2c1cc1c5c2CCCN5CCC1)CCC[N+]=4CCC3,CO,,,4.59,1.0,,,,,,490.2256428200001,10.1111/j.1751-1097.1999.tb08277.x
46,CCN(CC)c1ccc2c(c1)OC1=CC(N(CC)CC)C=CC1[C+]2c1ccccc1C(=O)O,CCO,,,2.45,,,,,,,445.24856933608993,10.1111/j.1751-1097.1999.tb08277.x
47,O=C([O-])c1ccccc1-c1c2ccc(=O)cc-2oc2cc([O-])ccc12,CCO,,,4.25,,,,,,,330.05392057982,10.1111/j.1751-1097.1999.tb08277.x
48,CCN(CC)c1ccc2c(-c3ccccc3C(=O)[O-])c3ccc(=[N+](CC)CC)cc-3oc2c1,CC(C)O,,,3.26,,,,,,,442.22564282,10.1111/j.1751-1097.1999.tb08277.x
49,CCN(CC)c1ccc2c(c1)OC1=CC(N(CC)CC)C=CC1[C+]2c1ccccc1C(=O)O,CC(C)O,,,2.69,,,,,,,445.24856933608993,10.1111/j.1751-1097.1999.tb08277.x
50,CCNc1cc2oc3cc(=[NH+]CC)c(C)cc-3c(-c3ccccc3C(=O)OCC)c2cc1C,CC(C)O,,,3.96,,,,,,,443.23291927209,10.1111/j.1751-1097.1999.tb08277.x
51,O=C([O-])c1ccccc1-c1c2ccc(=O)cc-2oc2cc([O-])ccc12,CC(C)O,,,4.36,,,,,,,330.05392057982,10.1111/j.1751-1097.1999.tb08277.x
52,O=C([O-])c1ccccc1C1=c2cc3c4c(c2Oc2c1cc1c5c2CCCN5CCC1)CCC[N+]=4CCC3,CC(C)O,,,4.36,,,,,,,490.2256428200001,10.1111/j.1751-1097.1999.tb08277.x
53,CCN(CC)c1ccc2c(-c3ccccc3C(=O)[O-])c3ccc(=[N+](CC)CC)cc-3oc2c1,CCCO,,,3.27,,,,,,,442.22564282,10.1111/j.1751-1097.1999.tb08277.x
54,CCN(CC)c1ccc2c(c1)OC1=CC(N(CC)CC)C=CC1[C+]2c1ccccc1C(=O)O,CCCO,,,2.79,,,,,,,445.24856933608993,10.1111/j.1751-1097.1999.tb08277.x
55,CCNc1cc2oc3cc(=[NH+]CC)c(C)cc-3c(-c3ccccc3C(=O)OCC)c2cc1C,CCCO,,,3.95,,,,,,,443.23291927209,10.1111/j.1751-1097.1999.tb08277.x
56,O=C([O-])c1ccccc1-c1c2ccc(=O)cc-2oc2cc([O-])ccc12,CCCO,,,4.42,,,,,,,330.05392057982,10.1111/j.1751-1097.1999.tb08277.x
57,O=C([O-])c1ccccc1C1=c2cc3c4c(c2Oc2c1cc1c5c2CCCN5CCC1)CCC[N+]=4CCC3,CCCO,,,4.3,,,,,,,490.2256428200001,10.1111/j.1751-1097.1999.tb08277.x
58,CCN(CC)c1ccc2c(-c3ccccc3C(=O)[O-])c3ccc(=[N+](CC)CC)cc-3oc2c1,CCCCO,,,3.37,,,,,,,442.22564282,10.1111/j.1751-1097.1999.tb08277.x
59,CCN(CC)c1ccc2c(c1)OC1=CC(N(CC)CC)C=CC1[C+]2c1ccccc1C(=O)O,CCCCO,,,2.98,,,,,,,445.24856933608993,10.1111/j.1751-1097.1999.tb08277.x
60,CCNc1cc2oc3cc(=[NH+]CC)c(C)cc-3c(-c3ccccc3C(=O)OCC)c2cc1C,CCCCO,,,3.89,,,,,,,443.23291927209,10.1111/j.1751-1097.1999.tb08277.x
61,O=C([O-])c1ccccc1-c1c2ccc(=O)cc-2oc2cc([O-])ccc12,CCCCO,,,4.4,,,,,,,330.05392057982,10.1111/j.1751-1097.1999.tb08277.x
62,O=C([O-])c1ccccc1C1=c2cc3c4c(c2Oc2c1cc1c5c2CCCN5CCC1)CCC[N+]=4CCC3,CCCCO,,,4.3,,,,,,,490.2256428200001,10.1111/j.1751-1097.1999.tb08277.x
63,CCN(CC)c1ccc2c(-c3ccccc3C(=O)[O-])c3ccc(=[N+](CC)CC)cc-3oc2c1,CCCCCCO,,,3.41,,,,,,,442.22564282,10.1111/j.1751-1097.1999.tb08277.x
64,CCN(CC)c1ccc2c(c1)OC1=CC(N(CC)CC)C=CC1[C+]2c1ccccc1C(=O)O,CCCCCCO,,,3.09,,,,,,,445.24856933608993,10.1111/j.1751-1097.1999.tb08277.x
65,CCNc1cc2oc3cc(=[NH+]CC)c(C)cc-3c(-c3ccccc3C(=O)OCC)c2cc1C,CCCCCCO,,,3.88,,,,,,,443.23291927209,10.1111/j.1751-1097.1999.tb08277.x
66,O=C([O-])c1ccccc1-c1c2ccc(=O)cc-2oc2cc([O-])ccc12,CCCCCCO,,,4.48,,,,,,,330.05392057982,10.1111/j.1751-1097.1999.tb08277.x
67,O=C([O-])c1ccccc1C1=c2cc3c4c(c2Oc2c1cc1c5c2CCCN5CCC1)CCC[N+]=4CCC3,CCCCCCO,,,4.27,,,,,,,490.2256428200001,10.1111/j.1751-1097.1999.tb08277.x
68,CCN(CC)c1ccc2c(-c3ccccc3C(=O)[O-])c3ccc(=[N+](CC)CC)cc-3oc2c1,CCCCCCCCO,,,3.42,,,,,,,442.22564282,10.1111/j.1751-1097.1999.tb08277.x
69,CCN(CC)c1ccc2c(c1)OC1=CC(N(CC)CC)C=CC1[C+]2c1ccccc1C(=O)O,CCCCCCCCO,,,3.18,,,,,,,445.24856933608993,10.1111/j.1751-1097.1999.tb08277.x
70,CCNc1cc2oc3cc(=[NH+]CC)c(C)cc-3c(-c3ccccc3C(=O)OCC)c2cc1C,CCCCCCCCO,,,3.83,,,,,,,443.23291927209,10.1111/j.1751-1097.1999.tb08277.x
71,O=C([O-])c1ccccc1-c1c2ccc(=O)cc-2oc2cc([O-])ccc12,CCCCCCCCO,,,4.52,,,,,,,330.05392057982,10.1111/j.1751-1097.1999.tb08277.x
72,O=C([O-])c1ccccc1C1=c2cc3c4c(c2Oc2c1cc1c5c2CCCN5CCC1)CCC[N+]=4CCC3,CCCCCCCCO,,,4.17,,,,,,,490.2256428200001,10.1111/j.1751-1097.1999.tb08277.x
73,O=C([O-])c1ccccc1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c([O-])c(Br)cc12,O,515.0,538.0,1.425,0.2,,,,,,641.69596885182,10.1021/ja00455a017
74,O=C([O-])c1ccccc1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c([O-])c(I)cc12,O,521.0,534.0,0.115,0.02,,,,,,833.64051245182,10.1021/ja00455a017
75,O=C([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c([O-])c(I)cc12,O,548.0,566.0,0.095,0.018,,,,,,969.48462304382,10.1021/ja00455a017
76,O=C([O-])c1ccccc1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c([O-])c(Br)cc12,CO,522.0,542.0,3.28,0.6,,,,,,641.69596885182,10.1021/ja00455a017
77,O=C([O-])c1ccccc1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c([O-])c(I)cc12,CO,526.0,545.0,0.5,0.08,,,,,,833.64051245182,10.1021/ja00455a017
78,O=C([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c([O-])c(I)cc12,CO,556.0,571.0,0.655,0.08,,,,,,969.48462304382,10.1021/ja00455a017
79,O=C([O-])c1ccccc1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c([O-])c(Br)cc12,CCO,527.0,550.0,3.62,0.69,,,,,,641.69596885182,10.1021/ja00455a017
80,O=C([O-])c1ccccc1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c([O-])c(I)cc12,CCO,532.0,551.0,0.565,0.08,,,,,,833.64051245182,10.1021/ja00455a017
81,O=C([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c([O-])c(I)cc12,CCO,558.0,573.0,0.82,0.11,,,,,,969.48462304382,10.1021/ja00455a017
82,O=C([O-])c1ccccc1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c([O-])c(Br)cc12,CC(C)O,529.0,551.0,3.715,0.76,,,,,,641.69596885182,10.1021/ja00455a017
83,O=C([O-])c1ccccc1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c([O-])c(I)cc12,CC(C)O,532.0,557.0,0.66,0.1,,,,,,833.64051245182,10.1021/ja00455a017
84,O=C([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c([O-])c(I)cc12,CC(C)O,561.0,576.0,1.015,0.14,,,,,,969.48462304382,10.1021/ja00455a017
85,CCC(=O)c1ccc2cc(N(C)C)ccc2c1,C1CCCCC1,342.0,401.0,1.6,,,,2814.1,,45.4,227.131014164,10.1021/bi00581a025
86,CCC(=O)c1ccc2cc(N(C)C)ccc2c1,c1ccccc1,355.0,421.0,3.3,,,,2154.0,,38.3,227.131014164,10.1021/bi00581a025
87,CCC(=O)c1ccc2cc(N(C)C)ccc2c1,CCN(CC)CC,343.0,406.0,,,,,2416.0,,39.9,227.131014164,10.1021/bi00581a025
88,CCC(=O)c1ccc2cc(N(C)C)ccc2c1,Clc1ccccc1,254.0,430.0,,,,,3036.4,,56.4,227.131014164,10.1021/bi00581a025
89,CCC(=O)c1ccc2cc(N(C)C)ccc2c1,CC(C)=O,350.0,452.0,,,,,2976.0,,61.1,227.131014164,10.1021/bi00581a025
90,CCC(=O)c1ccc2cc(N(C)C)ccc2c1,OCCO,375.0,515.0,,,,,3530.0,,94.4,227.131014164,10.1021/bi00581a025
91,CCC(=O)c1ccc2cc(N(C)C)ccc2c1,OCC(O)CO,370.0,510.0,3.8,,,,2487.0,,64.9,227.131014164,10.1021/bi00581a025
92,CCC(=O)c1ccc2cc(N(C)C)ccc2c1,O,364.0,531.0,2.1,,,,2603.1,,73.7,227.131014164,10.1021/bi00581a025
93,O=S(=O)(O)c1cccc2cccc(Nc3ccccc3)c12,CCCCO,,477.0,21.6,,,,,,,299.061614276,10.1063/1.1675715
94,O=S(=O)(O)c1cccc2cccc(Nc3ccccc3)c12,CCCO,,479.0,21.0,,,,,,,299.061614276,10.1063/1.1675715
95,O=S(=O)(O)c1cccc2cccc(Nc3ccccc3)c12,CCO,,485.0,18.0,,,,,,,299.061614276,10.1063/1.1675715
96,O=S(=O)(O)c1cccc2cccc(Nc3ccccc3)c12,CO,,490.0,13.6,,,,,,,299.061614276,10.1063/1.1675715
97,O=S(=O)(O)c1cccc2cccc(Nc3ccccc3)c12,OCCO,,495.0,11.8,,,,,,,299.061614276,10.1063/1.1675715
98,O=S(=O)(O)c1cccc2cccc(Nc3ccccc3)c12,OCC(O)CO,,501.0,9.0,,,,,,,299.061614276,10.1063/1.1675715
99,c1ccc2ccccc2c1,C1CCCCC1,286.0,324.0,96.0,0.23,3.58,,2907.0,,30.6,128.062600256,10.3390/molecules17055108
100,C[Si](C)(C)c1cccc2ccccc12,C1CCCCC1,293.0,328.0,64.0,0.3,3.73,5186.0,2666.9,44.8,28.7,200.102127042,10.3390/molecules17055108
101,C[SiH](C)c1cccc2ccccc12,C1CCCCC1,293.0,328.0,61.0,,3.75,5194.5,2599.9,44.9,28.0,186.086476978,10.3390/molecules17055108
102,CCCC[Si](C)(C)c1cccc2ccccc12,C1CCCCC1,294.0,329.0,63.0,,3.74,5124.6,2586.2,44.5,28.0,242.149077234,10.3390/molecules17055108
103,CC(C)(C)[Si](C)(C)c1cccc2ccccc12,C1CCCCC1,295.0,329.0,56.0,,3.78,5276.4,2698.2,46.2,29.3,242.149077234,10.3390/molecules17055108
104,CCCCCCCC[Si](C)(C)c1cccc2ccccc12,C1CCCCC1,293.0,329.0,62.0,,3.76,5151.2,2657.5,44.5,28.8,298.21167749,10.3390/molecules17055108
105,C[Si](C)(C)c1ccc([Si](C)(C)C)c2ccccc12,C1CCCCC1,300.0,333.0,23.0,0.33,3.87,5104.4,2915.6,46.2,32.4,272.141653828,10.3390/molecules17055108
106,C[SiH](C)c1ccc([SiH](C)C)c2ccccc12,C1CCCCC1,300.0,333.0,30.0,,3.86,5080.3,2891.0,46.0,32.1,244.1103537,10.3390/molecules17055108
107,CC(C)(C)[Si](C)(C)c1ccc([Si](C)(C)C(C)(C)C)c2ccccc12,C1CCCCC1,302.0,335.0,12.0,,3.91,5080.6,3110.3,46.6,35.0,356.235554212,10.3390/molecules17055108
108,COc1ccc([Si](C)(C)C)c2ccccc12,C1CCCCC1,312.0,327.0,10.0,0.65,3.71,6200.3,3305.7,60.9,35.5,230.112691726,10.3390/molecules17055108
109,C[Si](C)(C)c1ccc(C#N)c2ccccc12,C1CCCCC1,315.0,333.0,11.0,0.66,3.88,5246.6,2874.1,52.4,31.9,225.09737601,10.3390/molecules17055108
110,C[Si](C)(C)c1cccc2c(C#N)cccc12,C1CCCCC1,311.0,333.0,8.0,,3.82,5094.6,2906.8,49.6,32.3,225.09737601,10.3390/molecules17055108
111,C[Si](C)(C)C#Cc1cccc2ccccc12,C1CCCCC1,316.0,336.0,9.0,,4.13,4019.3,3105.1,40.3,35.2,224.102127042,10.3390/molecules17055108
112,C[Si](C)(C)C#Cc1ccc(C#C[Si](C)(C)C)c2ccccc12,C1CCCCC1,347.0,352.0,2.0,0.85,4.65,786.1,3369.6,9.5,41.9,320.141653828,10.3390/molecules17055108
113,CCCCCCCCCCCCn1cccc1C=Cc1cc(OCCCC)c(C=Cc2cccn2CCCCCCCCCCCC)cc1OCCCC,Cc1ccccc1,411.0,472.0,1.26,0.4,,4139.6,3014.1,70.4,67.5,740.6219798,10.1016/s0040-4039(00)01039-x
114,CCCCCCCCCCCCn1cccc1C=Cc1ccc(OCCCC)c2c(C=Cc3cccn3CCCCCCCCCCCC)ccc(OCCCC)c12,Cc1ccccc1,375.0,490.0,2.74,0.35,,5922.2,3630.7,84.3,87.9,790.637629864,10.1016/s0040-4039(00)01039-x
115,CCCCCCCCCCCCn1cccc1C=Cc1ccc(C=Cc2cccn2CCCCCCCCCCCC)cc1,Cc1ccccc1,398.0,443.0,1.06,0.32,,4325.3,2997.7,69.0,59.1,596.5069500479999,10.1016/s0040-4039(00)01039-x
116,N#Cc1cc2ccc(cc2)c2cccc3cccc(c4ccc(cc4)cc(C#N)c4ccc(cc4)c4cccc5cccc(c6ccc1cc6)c54)c32,Cc1ccccc1,350.0,496.0,20.6,0.55,,4088.7,3747.7,50.3,93.0,658.24089896,10.1002/chem.201404745
117,CCCCCCCCc1ccc(-c2ccc(C=C(C#N)c3ccc(-c4cccc5cccc(-c6ccc(C(C#N)=Cc7ccc(-c8ccc(CCCCCCCC)cc8)cc7)cc6)c45)cc3)cc2)cc1,Cc1ccccc1,350.0,491.0,4.9,0.12,,5207.2,3894.5,64.3,94.8,910.522600112,10.1002/chem.201404745
118,CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=O,CCCCCC,489.0,560.0,2.4,0.72,4.778151,3866.0,2313.1,93.3,72.8,752.061812632,10.1016/j.dyepig.2018.02.016
119,CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=O,ClC(Cl)(Cl)Cl,497.3,571.9,,,,3830.6,2279.7,95.6,74.9,752.061812632,10.1016/j.dyepig.2018.02.016
120,CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=O,C1COCCO1,506.0,591.0,2.6,0.78,4.763428,3803.5,2400.1,98.3,84.3,752.061812632,10.1016/j.dyepig.2018.02.016
121,CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=O,ClCCl,507.7,599.8,,,,3901.4,2513.6,101.5,90.9,752.061812632,10.1016/j.dyepig.2018.02.016
122,CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=O,CCO,508.0,618.0,2.4,0.62,4.763428,3922.4,2810.4,102.2,108.2,752.061812632,10.1016/j.dyepig.2018.02.016
123,CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=O,CC#N,507.0,633.0,2.5,0.67,4.755875,3954.1,2936.5,102.7,118.7,752.061812632,10.1016/j.dyepig.2018.02.016
124,CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=O,CS(C)=O,525.4,663.1,,,,4046.5,2911.1,113.0,129.2,752.061812632,10.1016/j.dyepig.2018.02.016
125,ClP1(Cl)=NP(Cl)(Cl)=NP(Cl)(Oc2ccc3ccc4cccc5ccc2c3c45)=N1,ClCCl,343.0,417.0,3.289,0.55,4.439333,2249.8,,26.5,,526.8401101979999,10.1016/j.dyepig.2018.02.012
126,ClP1(Cl)=NP(Cl)(Oc2ccc3ccc4cccc5ccc2c3c45)=NP(Cl)(Oc2ccc3ccc4cccc5ccc2c3c45)=N1,ClCCl,343.0,455.0,2.017,0.7,4.760875,2606.3,4443.7,30.7,92.9,708.9365974259999,10.1016/j.dyepig.2018.02.012
127,c1ccc2c(c1)OP1(=NP3(=NP(Oc4ccc5ccc6cccc7ccc4c5c67)(Oc4ccc5ccc6cccc7ccc4c5c67)=N1)Oc1ccccc1-c1ccccc1O3)Oc1ccccc1-2,ClCCl,343.0,463.0,1.228,0.82,4.897077,2472.8,,29.1,,937.1660456980002,10.1016/j.dyepig.2018.02.012
128,c1ccc2c(c1)OP1(=NP(Oc3ccc4ccc5cccc6ccc3c4c56)(Oc3ccc4ccc5cccc6ccc3c4c56)=NP(Oc3ccc4ccc5cccc6ccc3c4c56)(Oc3ccc4ccc5cccc6ccc3c4c56)=N1)Oc1ccccc1-2,ClCCl,343.0,457.0,1.233,0.89,5.189771,2463.1,3717.7,29.0,78.2,1187.244296018,10.1016/j.dyepig.2018.02.012
129,c1cc2ccc3ccc(OP4(Oc5ccc6ccc7cccc8ccc5c6c78)=NP(Oc5ccc6ccc7cccc8ccc5c6c78)(Oc5ccc6ccc7cccc8ccc5c6c78)=NP(Oc5ccc6ccc7cccc8ccc5c6c78)(Oc5ccc6ccc7cccc8ccc5c6c78)=N4)c4ccc(c1)c2c34,ClCCl,343.0,459.0,2.496,0.92,5.551499,2463.1,4919.3,29.0,105.0,1437.3225463379997,10.1016/j.dyepig.2018.02.012
130,CCCCC(CC)CN1C(=O)C2=C(c3ccc(-c4ccc(C5=C6C(C)=CC(C)=[N+]6[B-](F)(F)n6c(C)cc(C)c65)cc4)s3)N(CC(CC)CCCC)C(=O)C2=C1c1cccs1,Cc1ccccc1,680.0,623.0,3.87,0.57,3.04,5087.4,1884.7,242.5,73.4,846.3984059040001,10.1016/j.dyepig.2018.04.054
